rank,name,artist,date_added,popularity
1,HIPNOZA,NIKOŚ,2023-12-21 09:51:09,72
2,Last Christmas - Single Version,Wham!,2023-12-21 09:51:09,89
3,All I Want for Christmas Is You,Mariah Carey,2023-12-21 09:51:09,100
4,Snowman,Sia,2023-12-21 09:51:09,94
5,Rockin' Around The Christmas Tree,Brenda Lee,2023-12-21 09:51:09,98
6,Merry Christmas Everyone,Shakin' Stevens,2023-12-21 09:51:09,91
7,Santa Tell Me,Ariana Grande,2023-12-21 09:51:09,96
8,Jingle Bell Rock,Bobby Helms,2023-12-21 09:51:09,94
9,Kevin sam w domu,Blacha 2115,2023-12-21 09:51:09,58
10,BFF,bambi,2023-12-21 09:51:09,75
11,Fluid,ReTo,2023-12-21 09:51:09,74
12,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2023-12-21 09:51:09,95
13,Driving Home for Christmas,Chris Rea,2023-12-21 09:51:09,75
14,Stan,Gibbs,2023-12-21 09:51:09,66
15,It's the Most Wonderful Time of the Year,Andy Williams,2023-12-21 09:51:09,79
16,It's Beginning to Look a Lot like Christmas,Michael Bublé,2023-12-21 09:51:09,87
17,Holly Jolly Christmas,Michael Bublé,2023-12-21 09:51:09,83
18,Sleigh Ride,The Ronettes,2023-12-21 09:51:09,83
19,Jolie Jolie,Blacha 2115,2023-12-21 09:51:09,72
20,greedy,Tate McRae,2023-12-21 09:51:09,99
21,Underneath the Tree,Kelly Clarkson,2023-12-21 09:51:09,86
22,Mam Cię,Paluch,2023-12-21 09:51:09,71
23,Feliz Navidad,José Feliciano,2023-12-21 09:51:09,88
24,"Dzięki, że jesteś",Lanberry,2023-12-21 09:51:09,69
25,Autumn Dance,L.U.C.,2023-12-21 09:51:09,49
26,Nicea,PRO8L3M,2023-12-21 09:51:09,66
27,Kto Wie?,De Su,2023-12-21 09:51:09,68
28,Coraz Bliżej Święta,Margaret,2023-12-21 09:51:09,67
29,Ne Rozumiju,Vixen,2023-12-21 09:51:09,68
30,Do They Know It's Christmas? - 1984 Version,Band Aid,2023-12-21 09:51:09,89
31,Całkiem Nowa Bajka,Kleks,2023-12-21 09:51:09,63
32,Miyabi,PRO8L3M,2023-12-21 09:51:09,68
33,My Only Wish (This Year),Britney Spears,2023-12-21 09:51:09,88
34,Dzień jeden w roku,Czerwone Gitary,2023-12-21 09:51:09,66
35,Nim Zajdzie Słońce,Smolasty,2023-12-21 09:51:09,72
36,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2023-12-21 09:51:09,90
37,CEO,Asster,2023-12-21 09:51:09,62
38,JEREMY SOCHAN,Oki,2023-12-21 09:51:09,72
39,Kulig,Kaz Bałagane,2023-12-21 09:51:09,68
40,Explosion Ech poleczko - DNSQ Remix,Kalwi & Remi,2023-12-21 09:51:09,70
41,Strangers,Kenya Grace,2023-12-21 09:51:09,96
42,Byłem człowiekiem,PRO8L3M,2023-12-21 09:51:09,68
43,Overdrive (feat. Norma Jean Martine),Ofenbach,2023-12-21 09:51:09,83
44,5 INFLUENCEREK,Zeamsone,2023-12-21 09:51:09,68
45,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,2023-12-21 09:51:09,92
46,Ciapakwybujany,GM2L,2023-12-21 09:51:09,64
47,NIE MA CIĘ,Fukaj,2023-12-21 09:51:09,68
48,Thank God It's Christmas - 2011 Remaster,Queen,2023-12-21 09:51:09,75
49,ITALODISCO,The Kolors,2023-12-21 09:51:09,79
50,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,2023-12-21 09:51:09,91
