rank;name;artist;date_added;popularity
1;Last Christmas - Single Version;Wham!;2023-12-26 09:08:24;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-26 09:08:24;100
3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-26 09:08:24;98
4;Snowman;Sia;2023-12-26 09:08:24;94
5;Merry Christmas Everyone;Shakin' Stevens;2023-12-26 09:08:24;91
6;Jingle Bell Rock;Bobby Helms;2023-12-26 09:08:24;94
7;HIPNOZA;NIKOŚ;2023-12-26 09:08:24;73
8;Santa Tell Me;Ariana Grande;2023-12-26 09:08:24;96
9;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-26 09:08:24;95
10;Driving Home for Christmas;Chris Rea;2023-12-26 09:08:24;75
11;Dzień jeden w roku;Czerwone Gitary;2023-12-26 09:08:24;68
12;Kevin sam w domu;Blacha 2115;2023-12-26 09:08:24;64
13;Sleigh Ride;The Ronettes;2023-12-26 09:08:24;84
14;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-26 09:08:24;87
15;Kto Wie?;De Su;2023-12-26 09:08:24;69
16;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-26 09:08:24;79
17;Holly Jolly Christmas;Michael Bublé;2023-12-26 09:08:24;83
18;BFF;bambi;2023-12-26 09:08:24;74
19;Z kopyta kulig rwie;Skaldowie;2023-12-26 09:08:24;67
20;Feliz Navidad;José Feliciano;2023-12-26 09:08:24;88
21;Coraz Bliżej Święta;Margaret;2023-12-26 09:08:24;68
22;Underneath the Tree;Kelly Clarkson;2023-12-26 09:08:24;86
23;Fluid;ReTo;2023-12-26 09:08:24;73
24;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-26 09:08:24;89
25;Ding dong;Kayah;2023-12-26 09:08:24;67
26;Zaśnieżone miasta;Gromee;2023-12-26 09:08:24;66
27;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-26 09:08:24;75
28;Stan;Gibbs;2023-12-26 09:08:24;65
29;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-26 09:08:24;91
30;ŚWIEĆ GWIAZDECZKO ŚWIEĆ;Arka Noego;2023-12-26 09:08:24;60
31;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-26 09:08:24;92
32;My Only Wish (This Year);Britney Spears;2023-12-26 09:08:24;88
33;Jolie Jolie;Blacha 2115;2023-12-26 09:08:24;71
34;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-26 09:08:24;91
35;Dzięki, że jesteś;Lanberry;2023-12-26 09:08:24;69
36;Miyabi;PRO8L3M;2023-12-26 09:08:24;68
37;JEREMY SOCHAN;Oki;2023-12-26 09:08:24;71
38;Autumn Dance;L.U.C.;2023-12-26 09:08:24;49
39;Ciapakwybujany;GM2L;2023-12-26 09:08:24;64
40;Mam Cię;Paluch;2023-12-26 09:08:24;70
41;Mistletoe and Wine;Cliff Richard;2023-12-26 09:08:24;79
42;greedy;Tate McRae;2023-12-26 09:08:24;98
43;Kulig;Kaz Bałagane;2023-12-26 09:08:24;67
44;Merry Christmas;Ed Sheeran;2023-12-26 09:08:24;89
45;Całkiem Nowa Bajka;Kleks;2023-12-26 09:08:24;63
46;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-26 09:08:24;85
47;5 INFLUENCEREK;Zeamsone;2023-12-26 09:08:24;67
48;Mistletoe;Justin Bieber;2023-12-26 09:08:24;92
49;Nicea;PRO8L3M;2023-12-26 09:08:24;65
50;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;2023-12-26 09:08:24;90
